"long","lat"
"-77.082069","38.893008"
"-77.112605","38.862215"
"-77.070249","38.891893"
"-77.117763","38.868391"
"-77.11632","38.899414"
"-77.075423","38.847831"
"-77.098577","38.852485"
"-77.113003","38.884059"
"-77.170249","38.893784"
"-77.091369","38.856543"
"-77.095948","38.844885"
"-77.154242","38.894894"
"-77.133949","38.867913"
"-77.131943","38.904215"
"-77.081904","38.890957"
"-77.135862","38.900625"
"-77.096586","38.892297"
"-77.111874","38.891558"
"-77.089328","38.867914"
"-77.108632","38.875933"
"-77.107354","38.870616"
"-77.099178","38.889059"
"-77.129858","38.884423"
"-77.135036","38.88227"
"-77.081887","38.863741"
"-77.093675","38.885293"
"-77.088351","38.877485"
"-77.088151","38.874111"
"-77.112486","38.862119"
"-77.0865","38.895869"
"-77.148411","38.877782"
"-77.096871","38.866957"
"-77.084645","38.854109"
"-77.095079","38.856461"
"-77.115254","38.904835"
"-77.073895","38.863783"
"-77.064101","38.85065"
"-77.113078","38.884689"
"-77.113954","38.884536"
"-77.057391","38.857589"
"-77.081904","38.890957"
"-77.100633","38.839843"
"-77.096691","38.836472"
"-77.084077","38.887292"
"-77.131099","38.915622"
"-77.128703","38.921226"
"-77.10707","38.872438"
"-77.083514","38.888227"
"-77.091231","38.83463"
"-77.093768","38.844403"
"-77.073895","38.863783"
"-77.07977","38.89336"
"-77.05995","38.848377"
"-77.068396","38.856364"
"-77.113122","38.851373"
"-77.094436","38.858016"
"-77.087151","38.86061"
"-77.155268","38.896969"
"-77.097378","38.885677"
"-77.147563","38.880708"
"-77.0865","38.895869"
"-77.094877","38.874837"
"-77.088902","38.896346"
"-77.104903","38.853959"
"-77.09385","38.886862"
"-77.114862","38.882176"
"-77.106893","38.891458"
"-77.09264","38.874508"
"-77.147181","38.904281"
"-77.147181","38.904281"
"-77.099813","38.899256"
"-77.131386","38.903268"
"-77.146626","38.902054"
"-77.085417","38.83472"
"-77.086488","38.83071"
"-77.130587","38.8882"
"-77.092461","38.896624"
"-77.110531","38.882691"
"-77.083495","38.861665"
"-77.088108","38.874125"
"-77.084831","38.876038"
"-77.165742","38.888926"
"-77.108109","38.890618"
"-77.061673","38.85771"
"-77.157362","38.88881"
"-77.054157","38.862927"
"-77.116522","38.904289"
"-77.120985","38.900081"
"-77.085331","38.845671"
"-77.116849","38.895006"
"-77.148564","38.886914"
"-77.102805","38.839453"
"-77.091282","38.863831"
"-77.127524","38.863817"
"-77.1317","38.91653"
"-77.09078","38.834313"
"-77.09526","38.8511"
"-77.127697","38.898187"
"-77.123625","38.874065"
"-77.070737","38.867729"
"-77.073895","38.863783"
"-77.096901","38.841956"
"-77.10466","38.89598"
"-77.107029","38.902098"
"-77.140982","38.912833"
"-77.125752","38.925969"
"-77.104903","38.853959"
"-77.083209","38.897981"
"-77.149864","38.895618"
"-77.085974","38.861007"
"-77.117699","38.856736"
"-77.153664","38.905497"
"-77.163051","38.892715"
"-77.096629","38.889156"
"-77.137783","38.89147"
"-77.094634","38.8672"
"-77.119109","38.856988"
"-77.098756","38.894216"
"-77.087668","38.827978"
"-77.114862","38.882176"
"-77.104903","38.853959"
"-77.106138","38.854897"
"-77.102988","38.893914"
"-77.099013","38.875853"
"-77.123371","38.869658"
"-77.15815","38.897731"
"-77.134292","38.881183"
"-77.057442","38.847699"
"-77.093511","38.880312"
"-77.07347","38.890068"
"-77.096094","38.838847"
"-77.081032","38.87049"
"-77.116432","38.898221"
"-77.130516","38.87405"
"-77.083508","38.870826"
"-77.126774","38.922576"
"-77.148069","38.878397"
"-77.054157","38.862927"
"-77.106138","38.854897"
"-77.123343","38.906294"
"-77.163536","38.888511"
"-77.105142","38.892103"
"-77.116998","38.859759"
"-77.104717","38.898038"
"-77.097832","38.84888"
"-77.086302","38.88819"
"-77.096641","38.899202"
"-77.111084","38.875663"
"-77.149158","38.895947"
"-77.090351","38.846168"
"-77.084808","38.856758"
"-77.084838","38.860528"
"-77.11875","38.894852"
"-77.116432","38.898221"
"-77.11632","38.899414"
"-77.095081","38.887975"
"-77.107301","38.872225"
"-77.153337","38.881715"
"-77.081904","38.890957"
"-77.073459","38.897818"
"-77.071528","38.890284"
"-77.094572","38.849063"
"-77.091366","38.857311"
"-77.058492","38.858115"
"-77.103431","38.900743"
"-77.073895","38.863783"
"-77.073895","38.863783"
"-77.073895","38.863783"
"-77.114641","38.902455"
"-77.109393","38.905446"
"-77.094047","38.844466"
"-77.09517","38.844888"
"-77.1122","38.853148"
"-77.151239","38.897828"
"-77.154414","38.89612"
"-77.12904","38.893884"
"-77.098836","38.835918"
"-77.100197","38.88314"
"-77.100197","38.88314"
"-77.100197","38.88314"
"-77.116733","38.919316"
"-77.129805","38.893495"
"-77.130817","38.895132"
"-77.166358","38.889959"
"-77.053919","38.849704"
"-77.096191","38.847363"
"-77.104384","38.907431"
"-77.094186","38.844529"
"-77.073895","38.863783"
"-77.070288","38.863859"
"-77.054248","38.86302"
"-77.086163","38.877322"
"-77.086163","38.877322"
"-77.108323","38.903613"
"-77.086163","38.877322"
"-77.066023","38.864035"
"-77.066362","38.863103"
"-77.078927","38.890119"
"-77.108589","38.87389"
"-77.088677","38.833762"
"-77.134242","38.912083"
"-77.074514","38.897339"
"-77.083377","38.894383"
"-77.120825","38.874844"
"-77.129761","38.893459"
"-77.086302","38.88819"
"-77.086713","38.834268"
"-77.132402","38.906356"
"-77.115067","38.885916"
"-77.106138","38.854897"
"-77.074774","38.896757"
"-77.109438","38.88248"
"-77.048926","38.861865"
"-77.133704","38.918948"
"-77.089083","38.831599"
"-77.10044","38.890719"
"-77.09228","38.867913"
"-77.111694","38.881053"
"-77.117699","38.856736"
"-77.083354","38.861715"
"-77.093675","38.885293"
"-77.108098","38.886151"
"-77.082001","38.895448"
"-77.118608","38.896885"
"-77.067546","38.851204"
"-77.129272","38.87781"
"-77.055189","38.849759"
"-77.097378","38.885677"
"-77.110401","38.881036"
"-77.132594","38.916913"
"-77.098393","38.877061"
"-77.100919","38.904229"
"-77.127661","38.894152"
"-77.125298","38.890281"
"-77.052173","38.842643"
"-77.072447","38.867811"
"-77.115809","38.895146"
"-77.073587","38.893006"
"-77.107224","38.872296"
"-77.131247","38.918591"
"-77.125721","38.917209"
"-77.087584","38.845514"
"-77.116438","38.888543"
"-77.095223","38.896662"
"-77.089083","38.896602"
"-77.08694","38.833315"
"-77.103885","38.884077"
"-77.104903","38.853959"
"-77.104903","38.853959"
"-77.131478","38.898348"
"-77.103885","38.884077"
"-77.0865","38.895869"
"-77.098834","38.868937"
"-77.114042","38.856732"
"-77.138316","38.916004"
"-77.104903","38.853959"
"-77.095055","38.876284"
"-77.081904","38.890957"
"-77.091976","38.867855"
"-77.084276","38.850219"
"-77.092883","38.875296"
"-77.089238","38.831605"
"-77.107503","38.906862"
